you,ты
shelf,полка
shout,кричать
singer,певец
slice,кусочек
slim,тонкий
smoking,курение
sole,единственный
spoon,ложка
steak,стейк
strawberry,клубника
strict,строгий
struggle,борьба
submit,Разместить
supermarket,супермаркет
supper,ужин
symbol,символ
territory,территория
text,текст
toe,палец на ноге
tomato,помидор
tooth,зуб
tourist,турист
tower,башня
traditional,традиционный
translate,перевести
transport,транспорт
trousers,брюки
tube,трубка
unlikely,навряд ли
useful,полезный
via,через
visual,визуальный
volume,объем
yet,еще
youth,молодежь
had,было
investigation,расследование
vine,лоза
T-shirt,Футболка
apricot,абрикос
attribute,атрибут
beetle,жук
bracket,скобка
concise,краткий
decay,распад
doze,дремать
farther,дальше
lavatory,уборная
litre,литр
metre,метр
noun,имя существительное
pigeon,голубь
porridge,каша
raspberry,малина
appreciate,ценить
responsible,ответственный
fought,дрался
pride,гордость
solve,решить
hopefully,с надеждой
pine,сосна
mate,приятель
illegal,незаконный
matt,матовый
con,против
maid,горничная
punch,удар
mayor,мэр
recall,отзыв
bug,ошибка
defend,защищать
painful,болезненный
rat,крыса
cooking,Готовка
button,кнопка
sixty,шестьдесят
pity,жалость
coach,тренер
row,ряд
awhile,какое-то время
pen,ручка
confidence,уверенность
carter,возчик
image,образ
hers,ее
role,роль
refuse,отказаться
determined,решительный
progress,прогресс
military,военные
artist,художник
gym,Гимнастический зал
cruel,жестокий
traffic,движение
mental,умственный
poison,яд
expert,эксперт
bull,бык
benefit,выгода
secretary,секретарь
sneak,красться
mix,смешивание
firm,фирма
privacy,Конфиденциальность
pot,горшок
